POST1010917315665012;KOMENT100000042398574;KOMENT100001616164153;KOMENT100001044001547;KOMENT100000467157295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1010995768990500;KOMENT189455617592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1014239375332806;KOMENT192134684147352;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1043230862433657;KOMENT340050412751709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1045483432208400;KOMENT340050412751709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1052673034822773;KOMENT340050412751709;KOMENT340050412751709;KOMENT340050412751709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1073224852767591;KOMENT100001972624582;KOMENT100001972624582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1084808414942568;KOMENT100001004060511;KOMENT340050412751709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1094184967338246;KOMENT1490688600;KOMENT340050412751709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1140616382695104;KOMENT100007571796770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1178146378942104;KOMENT1593947659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1253973058026102;KOMENT340050412751709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1261808783909196;KOMENT400920633362927;KOMENT100001268392072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1265952380161503;KOMENT420630721330914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1301709649919109;KOMENT100013760566654;KOMENT100013027759185;KOMENT100001617069086;KOMENT100000883298403;KOMENT100004279964484;KOMENT100002167399595;KOMENT100001001054421;KOMENT1281589166;KOMENT100004279964484;KOMENT100004279964484;KOMENT100010987216048;;;;;;;;;;;;;;;;;;;;;;
POST1313559555400785;KOMENT579800008;KOMENT340050412751709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1338070529616354;KOMENT100004236069968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1382587088498031;KOMENT154638031243636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1517210855035653;KOMENT420630721330914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1579903472099724;KOMENT1310720525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1618227404933997;KOMENT1740791757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1645784935511577;KOMENT340050412751709;KOMENT1667334421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1652838374806233;KOMENT715524618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1657610247662379;KOMENT326290971186949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1661779530578784;KOMENT100001059764273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1674095786013825;KOMENT1287820935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POST1676777065745697;KOMENT1667334421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
